code,name,district
EC001,Uganda Technical College Bushenyi,Bushenyi
EC002,Uganda Technical College Elgon,Mbale
EC003,Uganda Technical College Lira,Lira
EC004,Uganda Technical College Kichwamba,Kabarole
EC005,Lugogo Vocational Training Institute,Kampala
EC006,Bukalasa Agricultural College,Luweero
